b2e296a96561   mysql_db                                       29.11%    410.8MiB / 512MiB   80.23%    2.87MB / 7.15MB   459kB / 15.2MB   60
3ddf6b553d50   redis                                          0.13%     2.645MiB / 256MiB   1.03%     22kB / 726B       0B / 0B          5
d2b11f88f556   load-testing-from-scratch-load_test_server-1   38.94%    71.1MiB / 2GiB      3.47%     4.36MB / 4.72MB   0B / 16.4kB      19
CONTAINER ID   NAME                                           CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O        PIDS
5cff13a5cff0   app                                            69.85%    61.91MiB / 1GiB     6.05%     16.4MB / 9.83MB   0B / 24.6kB      19
b2e296a96561   mysql_db                                       50.06%    410.8MiB / 512MiB   80.23%    3.85MB / 9.6MB    459kB / 15.2MB   60
3ddf6b553d50   redis                                          0.20%     2.645MiB / 256MiB   1.03%     22kB / 726B       0B / 0B          5
d2b11f88f556   load-testing-from-scratch-load_test_server-1   80.23%    102.8MiB / 2GiB     5.02%     6.01MB / 6.72MB   0B / 16.4kB      19
CONTAINER ID   NAME                                           CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O        PIDS
5cff13a5cff0   app                                            67.58%    74.76MiB / 1GiB     7.30%     19.4MB / 11.7MB   0B / 24.6kB      19
b2e296a96561   mysql_db                                       31.54%    410.8MiB / 512MiB   80.23%    4.67MB / 11.7MB   459kB / 15.2MB   60
3ddf6b553d50   redis                                          0.17%     2.645MiB / 256MiB   1.03%     22kB / 726B       0B / 0B          5
d2b11f88f556   load-testing-from-scratch-load_test_server-1   293.20%   107MiB / 2GiB       5.22%     7.1MB / 7.7MB     0B / 16.4kB      62
CONTAINER ID   NAME                                           CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O        PIDS
5cff13a5cff0   app                                            0.00%     73.62MiB / 1GiB     7.19%     20MB / 12.1MB     0B / 24.6kB      19
b2e296a96561   mysql_db                                       1.16%     410.7MiB / 512MiB   80.22%    4.85MB / 12.1MB   459kB / 15.2MB   60
3ddf6b553d50   redis                                          0.24%     2.645MiB / 256MiB   1.03%     22kB / 726B       0B / 0B          5
d2b11f88f556   load-testing-from-scratch-load_test_server-1   0.02%     104.5MiB / 2GiB     5.10%     7.3MB / 7.83MB    0B / 16.4kB      62
CONTAINER ID   NAME                                           CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O        PIDS
5cff13a5cff0   app                                            0.00%     73.62MiB / 1GiB     7.19%     20MB / 12.1MB     0B / 24.6kB      19
b2e296a96561   mysql_db                                       0.81%     410.7MiB / 512MiB   80.22%    4.85MB / 12.1MB   459kB / 15.2MB   60
3ddf6b553d50   redis                                          0.20%     2.645MiB / 256MiB   1.03%     22kB / 726B       0B / 0B          5
d2b11f88f556   load-testing-from-scratch-load_test_server-1   0.00%     104.5MiB / 2GiB     5.10%     7.3MB / 7.83MB    0B / 20.5kB      62
CONTAINER ID   NAME                                           CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O        PIDS
5cff13a5cff0   app                                            0.00%     73.62MiB / 1GiB     7.19%     20MB / 12.1MB     0B / 24.6kB      19
b2e296a96561   mysql_db                                       1.15%     410.7MiB / 512MiB   80.22%    4.85MB / 12.1MB   459kB / 15.2MB   60
3ddf6b553d50   redis                                          0.27%     2.645MiB / 256MiB   1.03%     22kB / 726B       0B / 0B          5
d2b11f88f556   load-testing-from-scratch-load_test_server-1   0.00%     104.5MiB / 2GiB     5.10%     7.3MB / 7.83MB    0B / 20.5kB      62
CONTAINER ID   NAME                                           CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O        PIDS
5cff13a5cff0   app                                            0.00%     73.62MiB / 1GiB     7.19%     20MB / 12.1MB     0B / 24.6kB      19
b2e296a96561   mysql_db                                       1.13%     410.7MiB / 512MiB   80.22%    4.85MB / 12.1MB   459kB / 15.2MB   60
3ddf6b553d50   redis                                          0.27%     2.645MiB / 256MiB   1.03%     22kB / 726B       0B / 0B          5
d2b11f88f556   load-testing-from-scratch-load_test_server-1   0.00%     104.4MiB / 2GiB     5.10%     7.3MB / 7.83MB    0B / 20.5kB      62
CONTAINER ID   NAME                                           CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O        PIDS
5cff13a5cff0   app                                            0.00%     73.62MiB / 1GiB     7.19%     20MB / 12.1MB     0B / 24.6kB      19
b2e296a96561   mysql_db                                       1.11%     410.7MiB / 512MiB   80.22%    4.85MB / 12.1MB   459kB / 15.2MB   60
